hold,rebalance,k_pct,exec_lag,cost,gross_sharpe,net_sharpe,ann_return,max_drawdown,turnover_annual,cost_drag_annual,n_bars
6,2,0.2,1,high,-0.4874852227488344,-21.047367568504157,-0.9709113474488514,-0.9999765319676244,2295.5656813827886,3.443348522074184,26398
6,2,0.2,2,low,-0.7572769957847167,-3.61320017351616,-0.4477712725691688,-0.8329358573618517,2295.3918586905934,0.4590783717381188,26398
6,2,0.2,2,med,-0.7572769957847167,-11.410353778202355,-0.8437917893571909,-0.9962825040329337,2295.3918586905934,1.721543894017945,26398
6,2,0.2,2,high,-0.7572769957847167,-21.670587638424767,-0.9720999961177356,-0.999979304563838,2295.3918586905934,3.4430877880358906,26398
6,2,0.3,1,low,-0.2691989113902453,-3.6609372168248964,-0.36421528022154903,-0.7498405114381068,2063.7386441121566,0.4127477288224313,26398
6,2,0.3,1,med,-0.2691989113902453,-12.856603129321812,-0.7957147786518851,-0.991655131070022,2063.7386441121566,1.5478039830841177,26398
6,2,0.3,1,high,-0.2691989113902453,-24.708392440590742,-0.9565836759845578,-0.9999215472989929,2063.7386441121566,3.0956079661682363,26398
6,2,0.3,2,low,-0.6783407186326976,-4.123515286822453,-0.39418612290664257,-0.7795143401150015,2063.59786209699,0.41271957241939805,26398
6,2,0.3,2,med,-0.6783407186326976,-13.49724312585129,-0.8053219517026338,-0.9927826490524121,2063.59786209699,1.547698396572743,26398
6,2,0.3,2,high,-0.6783407186326976,-25.633806729594298,-0.9586188529563956,-0.9999321147437035,2063.59786209699,3.0953967931454858,26398
6,4,0.1,1,low,-0.7148081600531849,-2.9877739159548744,-0.6499923030425822,-0.9587871522654539,3782.460792484279,0.7564921584968559,26398
6,4,0.1,1,med,-0.7148081600531849,-9.197463386634533,-0.9563333174843441,-0.9999201760923383,3782.460792484279,2.836845594363209,26398
6,4,0.1,1,high,-0.7148081600531849,-17.446552311528887,-0.9974484121048821,-0.99999998467147,3782.460792484279,5.673691188726418,26398
6,4,0.1,2,low,-0.537866001730944,-2.8442947488624744,-0.6272000063198391,-0.9510333765980002,3782.128949162815,0.756425789832563,26398
6,4,0.1,2,med,-0.537866001730944,-9.153751271910762,-0.9534752090036266,-0.9999039658550031,3782.128949162815,2.8365967118721116,26398
6,4,0.1,2,high,-0.537866001730944,-17.550230687595597,-0.9972802418416911,-0.9999999814205366,3782.128949162815,5.673193423744222,26398
6,4,0.2,1,low,-0.22030737934313038,-3.670953864633467,-0.5293113390039543,-0.897319403997075,3447.709891441992,0.6895419782883984,26398
6,4,0.2,1,med,-0.22030737934313038,-13.031811025701648,-0.9293889707382982,-0.9996602874656456,3447.709891441992,2.5857824185814935,26398
6,4,0.2,1,high,-0.22030737934313038,-25.096656875611156,-0.9946931490863022,-0.9999998607281043,3447.709891441992,5.171564837162987,26398
6,4,0.2,2,low,-0.3423819603873963,-3.8085642790739365,-0.5404137846338968,-0.9052926429988737,3447.472860498089,0.689494572099618,26398
6,4,0.2,2,med,-0.3423819603873963,-13.230172873279242,-0.9310414032189763,-0.999683684363192,3447.472860498089,2.585604645373567,26398
6,4,0.2,2,high,-0.3423819603873963,-25.40759621110116,-0.9948159941098652,-0.9999998702186544,3447.472860498089,5.171209290747133,26398
6,4,0.3,1,low,-0.31225880305774323,-4.468198545656488,-0.4932116260454785,-0.8731725768609531,3108.8892409204545,0.6217778481840911,26398
6,4,0.3,1,med,-0.31225880305774323,-15.67814805359271,-0.9083857952261761,-0.9992554296190581,3108.8892409204545,2.3316669306903415,26398
6,4,0.3,1,high,-0.31225880305774323,-29.785042812693266,-0.991118491404096,-0.9999993426060816,3108.8892409204545,4.663333861380683,26398
6,4,0.3,2,low,-0.4064215015143792,-4.5713643468159155,-0.5001909887967417,-0.8792101814877664,3108.6479003230265,0.6217295800646053,26398
6,4,0.3,2,med,-0.4064215015143792,-15.824899422328652,-0.9096328620967503,-0.9992855551486322,3108.6479003230265,2.33148592524227,26398
6,4,0.3,2,high,-0.4064215015143792,-30.020482198145892,-0.9912374536908767,-0.9999993687846502,3108.6479003230265,4.66297185048454,26398
12,1,0.1,1,low,-0.7969460237406002,-2.1524865118642706,-0.3430370004991299,-0.7261656619927765,1267.69381835849,0.25353876367169775,26398
12,1,0.1,1,med,-0.7969460237406002,-5.880061676347658,-0.6728781674936426,-0.9655180693908425,1267.69381835849,0.9507703637688677,26398
12,1,0.1,1,high,-0.7969460237406002,-10.962023927657535,-0.8736085404682663,-0.9980363999357785,1267.69381835849,1.9015407275377352,26398
12,1,0.1,2,low,-1.0520381672094146,-2.4323319057245256,-0.3710279484925333,-0.759104045534561,1267.6477290082864,0.2535295458016572,26398
